year,car_makers,car_model,km_driven,fuel_type,transmission,price,location
2018,Maruti,2018 Maruti Dzire LXI,100% tyre life,Petrol,,471000.0,"at M3M Urbana, Golf Course Ext., Gurugram"
2018,Hyundai,2018 Hyundai Creta E PLUS 1.6 PETROL,100% tyre life,Petrol,,806000.0,"at Metro Walk, Rohini, New Delhi"
2018,Maruti,2018 Maruti Alto K10 VXI,Top Model,Petrol,,310000.0,"at Parsvnath City Mall, Faridabad"
2020,Hyundai,2020 Hyundai Verna 1.6 CRDI SX,Top Model,Diesel,,964000.0,"at Parsvnath City Mall, Faridabad"
2020,Hyundai,2020 Hyundai Verna SX 1.5 CRDI,Sunroof,Diesel,,1028999.9999999999,"at Sector-18, Noida"
2020,Maruti,2020 Maruti Ciaz S 1.5 MT PETROL,Alloy wheels,Petrol,,886999.9999999999,"at Parsvnath City Mall, Faridabad"
2019,Maruti,2019 Maruti Dzire LXI,Reg. serviced,Petrol,,513999.99999999994,"at Metro Walk, Rohini, New Delhi"
2019,Maruti,2019 Maruti Dzire ZXI PLUS,Top Model,Petrol,,570000.0,"at Sector-18, Noida"
2019,Maruti,2019 Maruti Alto LXI O,Reg. serviced,Petrol,,319000.0,"at Metro Walk, Rohini, New Delhi"
2016,Maruti,2016 Maruti Celerio VXI AMT,100% tyre life,Petrol,,394000.0,"at Sector-18, Noida"
2019,Maruti,2019 Maruti IGNIS DELTA 1.2,Safety specs.,Petrol,,472000.0,"at Sector-18, Noida"
2020,Maruti,2020 Maruti S PRESSO VXI CNG,Safety specs.,CNG,,430000.0,"at Metro Walk, Rohini, New Delhi"
2022,Hyundai,2022 Hyundai AURA S 1.2 CNG,Reg. serviced,CNG,,745000.0,"at Metro Walk, Rohini, New Delhi"
2018,Maruti,2018 Maruti Ciaz ALPHA 1.5 SHVS PETROL,Alloy wheels,Petrol,,718000.0,"at Sector-18, Noida"
2016,Hyundai,2016 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Spl. reg. no.,Petrol,,409999.99999999994,"at M3M Urbana, Golf Course Ext., Gurugram"
2022,Maruti,2022 Maruti Alto VXI,Reg. serviced,Petrol,,393000.0,"at KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2018,Maruti,2018 Maruti Ciaz DELTA AT 1.5 SHVS PETROL,Alloy wheels,Petrol,,683000.0,"at M3M Urbana, Golf Course Ext., Gurugram"
2016,Hyundai,2016 Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,Top Model,Petrol,,459999.99999999994,"at Metro Walk, Rohini, New Delhi"
2022,Maruti,2022 Maruti XL6 ALPHA PLUS MT,Top Model,Petrol,,1184000.0,"at M3M Urbana, Golf Course Ext., Gurugram"
2016,Maruti,2016 Maruti Wagon R 1.0 VXI AMT,Top Model,Petrol,,367000.0,"at Metro Walk, Rohini, New Delhi"
